round,agent_id,agent_type,bid_amount,private_value,won,utility
1,0,LLM,9.709,14.566925510413032,False,0.0
1,1,LLM,32.5,45.492700451402136,False,0.0
1,2,LLM,51.14,77.07838056590222,True,-25.93838056590222
1,3,Random,45.112406396811586,70.5513226934028,False,0.0
1,4,Random,2.821836472993177,73.19589730332558,False,0.0
1,5,Random,17.710620082950875,43.35144348954037,False,0.0
2,0,LLM,52.0,80.00204571334277,True,-28.002045713342767
2,1,LLM,50.0,53.29014146425713,False,0.0
2,2,LLM,4.008,8.015370917850195,False,0.0
2,3,Random,1.140355082906538,45.59458811835672,False,0.0
2,4,Random,3.334045371009364,4.7887516459941715,False,0.0
2,5,Random,50.56395063877212,93.29624000750505,False,0.0
3,0,LLM,63.5,94.70780060029439,True,-31.20780060029439
3,1,LLM,33.54,33.53507759400101,False,0.0
3,2,LLM,20.5,30.940592914003417,False,0.0
3,3,Random,21.12275079444723,76.80181487450804,False,0.0
3,4,Random,2.934359802120729,20.386952877685705,False,0.0
3,5,Random,15.383971227116826,17.846076295399126,False,0.0
4,0,LLM,9.43,18.85949141744855,False,0.0
4,1,LLM,0.0,34.70044536148173,False,0.0
4,2,LLM,58.5,62.63216391927974,True,-4.132163919279741
4,3,Random,21.502242715028135,96.33157837008632,False,0.0
4,4,Random,9.75175217545488,21.083399208685016,False,0.0
4,5,Random,16.891013656187823,95.61006461166511,False,0.0
5,0,LLM,48.5,55.539966580106906,False,0.0
5,1,LLM,72.5,90.11520429873923,True,-17.61520429873923
5,2,LLM,65.5,81.80181933574305,False,0.0
5,3,Random,11.814604517062799,16.042180997493382,False,0.0
5,4,Random,43.55917456307092,64.8542908120573,False,0.0
5,5,Random,2.7940783564263425,12.409328058844372,False,0.0
6,0,LLM,0.45,0.564508589179924,False,0.0
6,1,LLM,35.0,39.551618060174945,False,0.0
6,2,LLM,68.5,77.3500702168781,True,-8.850070216878095
6,3,Random,38.311863032562655,56.61577072928859,False,0.0
6,4,Random,15.275465313745991,19.264065598707337,False,0.0
6,5,Random,2.4475873709431055,84.11747144619733,False,0.0
7,0,LLM,73.0,91.37768422492283,True,-18.37768422492283
7,1,LLM,18.0,23.722506292270406,False,0.0
7,2,LLM,35.0,44.81924831822746,False,0.0
7,3,Random,56.90319554795321,63.77998063140823,False,0.0
7,4,Random,40.893213828351236,90.23430227313985,False,0.0
7,5,Random,1.4769731621114497,12.661520856523822,False,0.0
8,0,LLM,45.0,55.395161924408086,False,0.0
8,1,LLM,70.0,96.85239944790129,True,-26.85239944790129
8,2,LLM,54.0,60.91002318791362,False,0.0
